country_code,is_independent,status,landlocked,country,region
TWN,Yes,Developing,No,Taiwan,Asia
AFG,Yes,Developing,Yes,Afghanistan,Asia
ALB,Yes,Developed,No,Albania,Europe
DZA,Yes,Developing,No,Algeria,Africa
ASM,Territory of US,Developing,No,American Samoa,Oceania
AND,Yes,Developed,No,Andorra,Europe
AGO,Yes,Developing,No,Angola,Africa
AIA,Territory of GB,Developing,No,Anguilla,Americas
ATA,International,Developing,No,Antarctica,Antarctica
ATG,Yes,Developing,No,Antigua and Barbuda,Americas
ARG,Yes,Developing,No,Argentina,Americas
ARM,Yes,Developing,Yes,Armenia,Asia
ABW,Part of NL,Developing,No,Aruba,Americas
AUS,Yes,Developed,No,Australia,Oceania
AUT,Yes,Developed,No,Austria,Europe
AZE,Yes,Developing,Yes,Azerbaijan,Asia
BHS,Yes,Developing,No,Bahamas,Americas
BHR,Yes,Developing,No,Bahrain,Asia
BGD,Yes,Developing,No,Bangladesh,Asia
BRB,Yes,Developing,No,Barbados,Americas
BLR,Yes,Developed,No,Belarus,Europe
BEL,Yes,Developed,No,Belgium,Europe
BLZ,Yes,Developing,No,Belize,Americas
BEN,Yes,Developing,No,Benin,Africa
BMU,Territory of GB,Developed,No,Bermuda,Americas
BTN,Yes,Developing,Yes,Bhutan,Asia
BOL,Yes,Developing,Yes,Bolivia,Americas
BES,Part of NL,Developing,No,Bonaire, SINT EUSTATIUS AND SABA
BIH,Yes,Developed,No,Bosnia and Herzegovina,Europe
BWA,Yes,Developing,Yes,Botswana,Africa
BVT,Territory of NO,Developing,No,Bouvet Island,Americas
BRA,Yes,Developing,No,Brazil,Americas
IOT,Territory of GB,Developing,No,British Indian Ocean Territory,Africa
VGB,Territory of GB,Developing,No,British Virgin Islands,Americas
BRN,Yes,Developing,No,Brunei,Asia
BGR,Yes,Developed,No,Bulgaria,Europe
BFA,Yes,Developing,Yes,Burkina Faso,Africa
BDI,Yes,Developing,Yes,Burundi,Africa
CPV,Yes,Developing,No,Cape Verde,Africa
KHM,Yes,Developing,No,Cambodia,Asia
CMR,Yes,Developing,No,Cameroon,Africa
CAN,Yes,Developed,No,Canada,Americas
CYM,Territory of GB,Developing,No,Cayman Islands,Americas
CAF,Yes,Developing,Yes,Central African Republic,Africa
TCD,Yes,Developing,Yes,Chad,Africa
CHL,Yes,Developing,No,Chile,Americas
CHN,Yes,Developing,No,China,Asia
